epoch,learning_rate,step,training_auroc,training_loss,training_pseudolabel_loss,training_pseudolabel_weight,training_source_loss,training_total_loss,validation_auroc,validation_loss
33,,237,,,,,,,0.6951613426208496,0.6131314635276794
33,3.692002792377025e-05,237,0.738006055355072,0.6020246148109436,0.01227231789380312,0.5,0.5958884358406067,0.6020246148109436,,
34,,244,,,,,,,0.6955645084381104,0.6150268316268921
34,3.865517646772787e-05,244,0.7402580976486206,0.5979990363121033,0.010760650970041752,0.5,0.5926187038421631,0.5979990363121033,,
35,,251,,,,,,,0.7052419185638428,0.6110392808914185
35,4.0409446228295565e-05,251,0.7458502054214478,0.5918174386024475,0.009189032949507236,0.5,0.5872229337692261,0.5918174386024475,,
36,,258,,,,,,,0.6991935968399048,0.6168069839477539
36,4.2180319724138826e-05,258,0.750632643699646,0.586803674697876,0.008263020776212215,0.5,0.582672119140625,0.586803674697876,,
37,,265,,,,,,,0.6943548917770386,0.610545814037323
37,4.396525037009269e-05,265,0.7513916492462158,0.5838449001312256,0.007249139249324799,0.5,0.5802203416824341,0.5838449001312256,,
38,,272,,,,,,,0.6963709592819214,0.6110553741455078
38,4.5761698856949806e-05,272,0.7518218755722046,0.5807139277458191,0.005789767950773239,0.5,0.5778190493583679,0.5807139277458191,,
39,,279,,,,,,,0.6971774101257324,0.6208482980728149
39,4.756708221975714e-05,279,0.7544281482696533,0.5778489112854004,0.005586171988397837,0.5,0.5750558376312256,0.5778489112854004,,
