epoch,learning_rate,step,training_auroc,training_loss,validation_auroc,validation_loss
35,,251,,,0.721926212310791,0.6784008741378784
35,2.5903593268594705e-05,251,0.8755544424057007,0.44817689061164856,,
36,,258,,,0.726844310760498,0.6165493130683899
36,2.6694066036725417e-05,258,0.8774949312210083,0.44052162766456604,,
37,,265,,,0.7153688669204712,0.7527952790260315
37,2.7505189791554585e-05,265,0.8785786032676697,0.44033271074295044,,
38,,272,,,0.7137295007705688,0.6304103136062622
38,2.8336829927866347e-05,272,0.8939768075942993,0.42228710651397705,,
39,,279,,,0.7178278565406799,0.8252952694892883
39,2.9188860935391858e-05,279,0.8861895203590393,0.4163758456707001,,
40,,286,,,0.7151639461517334,0.6878508925437927
40,3.0061142751947045e-05,286,0.885811448097229,0.415473610162735,,
41,,293,,,0.699795126914978,0.8123717308044434
41,3.095353895332664e-05,293,0.9056955575942993,0.3914582431316376,,
42,,300,,,0.6991803646087646,0.7368019223213196
42,3.186589674442075e-05,300,0.9116683006286621,0.38223907351493835,,
43,,307,,,0.6881147623062134,0.7317256927490234
43,3.279808515799232e-05,307,0.9099042415618896,0.3850373327732086,,
44,,314,,,0.703278660774231,0.9057127833366394
44,3.374994048499502e-05,314,0.8998992443084717,0.3904056251049042,,
45,,321,,,0.6926230192184448,0.8690707683563232
45,3.472133175819181e-05,321,0.9225554466247559,0.353518545627594,,
46,,328,,,0.6881147623062134,0.7545471787452698
46,3.571206980268471e-05,328,0.946169376373291,0.3270558714866638,,
